no_of_seats,state
25,Andhra Pradesh
2,Arunachal Pradesh
14,Assam
40,Bihar
11,Chhattisgarh
2,Goa
26,Gujarat
10,Haryana
4,Himachal Pradesh
6,Jammu and Kashmir
14,Jharkhand
28,Karnataka
20,Kerala
29,Madhya Pradesh
48,Maharashtra
2,Manipur
2,Meghalaya
1,Mizoram
1,Nagaland
21,Odisha
13,Punjab
25,Rajasthan
1,Sikkim
39,Tamil Nadu
17,Telangana
2,Tripura
80,Uttar Pradesh
5,Uttarakhand
42,West Bengal
1,Andaman and Nicobar Islands
1,Chandigarh
1,Dadra and Nagar Haveli
1,Daman and Diu
1,Lakshadweep
7,NCT of Delhi
1,Puducherry
